tag_name,timestamp,value
DLM:00046-FLOW,2021-07-02 00:00:00+00:00,5.42
DLM:00046-FLOW,2021-07-02 00:15:00+00:00,5.52
DLM:00046-FLOW,2021-07-02 00:30:00+00:00,6.18
DLM:00046-FLOW,2021-07-02 00:45:00+00:00,6.79
DLM:00046-FLOW,2021-07-02 01:00:00+00:00,7.42
DLM:00046-FLOW,2021-07-02 01:15:00+00:00,8.83
DLM:00046-FLOW,2021-07-02 01:30:00+00:00,9.24
DLM:00046-FLOW,2021-07-02 01:45:00+00:00,9.49
DLM:00046-FLOW,2021-07-02 02:00:00+00:00,9.39
DLM:00046-FLOW,2021-07-02 02:15:00+00:00,9.76
DLM:00046-FLOW,2021-07-02 02:30:00+00:00,10.36
DLM:00046-FLOW,2021-07-02 02:45:00+00:00,10.55
DLM:00046-FLOW,2021-07-02 03:00:00+00:00,9.68
DLM:00046-FLOW,2021-07-02 03:15:00+00:00,10.75
DLM:00046-FLOW,2021-07-02 03:30:00+00:00,11.0
DLM:00046-FLOW,2021-07-02 03:45:00+00:00,11.09
DLM:00046-FLOW,2021-07-02 04:00:00+00:00,11.33
DLM:00046-FLOW,2021-07-02 04:15:00+00:00,11.24
DLM:00046-FLOW,2021-07-02 04:30:00+00:00,11.22
DLM:00046-FLOW,2021-07-02 04:45:00+00:00,10.68
DLM:00046-FLOW,2021-07-02 05:00:00+00:00,10.26
DLM:00046-FLOW,2021-07-02 05:15:00+00:00,8.98
DLM:00046-FLOW,2021-07-02 05:30:00+00:00,8.64
DLM:00046-FLOW,2021-07-02 05:45:00+00:00,8.11
DLM:00046-FLOW,2021-07-02 06:00:00+00:00,8.04
DLM:00046-FLOW,2021-07-02 06:15:00+00:00,8.14
DLM:00046-FLOW,2021-07-02 06:30:00+00:00,8.23
DLM:00046-FLOW,2021-07-02 06:45:00+00:00,8.46
DLM:00046-FLOW,2021-07-02 07:00:00+00:00,8.82
DLM:00046-FLOW,2021-07-02 07:15:00+00:00,8.69
DLM:00046-FLOW,2021-07-02 07:30:00+00:00,9.88
DLM:00046-FLOW,2021-07-02 07:45:00+00:00,10.41
DLM:00046-FLOW,2021-07-02 08:00:00+00:00,9.62
DLM:00046-FLOW,2021-07-02 08:15:00+00:00,9.89
DLM:00046-FLOW,2021-07-02 08:30:00+00:00,10.01
DLM:00046-FLOW,2021-07-02 08:45:00+00:00,9.84
DLM:00046-FLOW,2021-07-02 09:00:00+00:00,9.67
DLM:00046-FLOW,2021-07-02 09:15:00+00:00,10.38
DLM:00046-FLOW,2021-07-02 09:30:00+00:00,10.72
DLM:00046-FLOW,2021-07-02 09:45:00+00:00,10.16
DLM:00046-FLOW,2021-07-02 10:00:00+00:00,10.55
DLM:00046-FLOW,2021-07-02 10:15:00+00:00,11.69
DLM:00046-FLOW,2021-07-02 10:30:00+00:00,11.51
DLM:00046-FLOW,2021-07-02 10:45:00+00:00,10.22
DLM:00046-FLOW,2021-07-02 11:00:00+00:00,10.68
DLM:00046-FLOW,2021-07-02 11:15:00+00:00,10.07
DLM:00046-FLOW,2021-07-02 11:30:00+00:00,9.86
DLM:00046-FLOW,2021-07-02 11:45:00+00:00,9.43
DLM:00046-FLOW,2021-07-02 12:00:00+00:00,9.14
DLM:00046-FLOW,2021-07-02 12:15:00+00:00,9.19
DLM:00046-FLOW,2021-07-02 12:30:00+00:00,10.0
DLM:00046-FLOW,2021-07-02 12:45:00+00:00,10.41
DLM:00046-FLOW,2021-07-02 13:00:00+00:00,10.44
DLM:00046-FLOW,2021-07-02 13:15:00+00:00,10.86
DLM:00046-FLOW,2021-07-02 13:30:00+00:00,11.49
DLM:00046-FLOW,2021-07-02 13:45:00+00:00,11.68
DLM:00046-FLOW,2021-07-02 14:00:00+00:00,11.14
DLM:00046-FLOW,2021-07-02 14:15:00+00:00,10.19
DLM:00046-FLOW,2021-07-02 14:30:00+00:00,10.71
DLM:00046-FLOW,2021-07-02 14:45:00+00:00,11.21
DLM:00046-FLOW,2021-07-02 15:00:00+00:00,10.89
DLM:00046-FLOW,2021-07-02 15:15:00+00:00,10.54
DLM:00046-FLOW,2021-07-02 15:30:00+00:00,9.9
DLM:00046-FLOW,2021-07-02 15:45:00+00:00,10.08
DLM:00046-FLOW,2021-07-02 16:00:00+00:00,10.17
DLM:00046-FLOW,2021-07-02 16:15:00+00:00,10.12
DLM:00046-FLOW,2021-07-02 16:30:00+00:00,9.92
DLM:00046-FLOW,2021-07-02 16:45:00+00:00,10.05
DLM:00046-FLOW,2021-07-02 17:00:00+00:00,10.04
DLM:00046-FLOW,2021-07-02 17:15:00+00:00,9.0
DLM:00046-FLOW,2021-07-02 17:30:00+00:00,8.26
DLM:00046-FLOW,2021-07-02 17:45:00+00:00,8.65
DLM:00046-FLOW,2021-07-02 18:00:00+00:00,9.23
DLM:00046-FLOW,2021-07-02 18:15:00+00:00,9.83
DLM:00046-FLOW,2021-07-02 18:30:00+00:00,10.6
DLM:00046-FLOW,2021-07-02 18:45:00+00:00,10.02
DLM:00046-FLOW,2021-07-02 19:00:00+00:00,10.09
DLM:00046-FLOW,2021-07-02 19:15:00+00:00,9.97
DLM:00046-FLOW,2021-07-02 19:30:00+00:00,10.37
DLM:00046-FLOW,2021-07-02 19:45:00+00:00,11.35
DLM:00046-FLOW,2021-07-02 20:00:00+00:00,11.82
DLM:00046-FLOW,2021-07-02 20:15:00+00:00,11.57
DLM:00046-FLOW,2021-07-02 20:30:00+00:00,11.52
DLM:00046-FLOW,2021-07-02 20:45:00+00:00,11.41
DLM:00046-FLOW,2021-07-02 21:00:00+00:00,11.72
DLM:00046-FLOW,2021-07-02 21:15:00+00:00,11.26
DLM:00046-FLOW,2021-07-02 21:30:00+00:00,11.55
DLM:00046-FLOW,2021-07-02 21:45:00+00:00,11.75
DLM:00046-FLOW,2021-07-02 22:00:00+00:00,11.3
DLM:00046-FLOW,2021-07-02 22:15:00+00:00,10.06
DLM:00046-FLOW,2021-07-02 22:30:00+00:00,10.52
DLM:00046-FLOW,2021-07-02 22:45:00+00:00,9.51
DLM:00046-FLOW,2021-07-02 23:00:00+00:00,8.35
DLM:00046-FLOW,2021-07-02 23:15:00+00:00,6.82
DLM:00046-FLOW,2021-07-02 23:30:00+00:00,6.94
DLM:00046-FLOW,2021-07-02 23:45:00+00:00,6.68
DLM:00046-FLOW,2021-07-03 00:00:00+00:00,7.9
DLM:00046-FLOW,2021-07-03 00:15:00+00:00,8.27
DLM:00046-FLOW,2021-07-03 00:30:00+00:00,7.27
DLM:00046-FLOW,2021-07-03 00:45:00+00:00,6.67
DLM:00046-FLOW,2021-07-03 01:00:00+00:00,6.72
DLM:00046-FLOW,2021-07-03 01:15:00+00:00,5.74
DLM:00046-FLOW,2021-07-03 01:30:00+00:00,6.18
DLM:00046-FLOW,2021-07-03 01:45:00+00:00,6.23
DLM:00046-FLOW,2021-07-03 02:00:00+00:00,6.9
DLM:00046-FLOW,2021-07-03 02:15:00+00:00,6.55
DLM:00046-FLOW,2021-07-03 02:30:00+00:00,6.7
DLM:00046-FLOW,2021-07-03 02:45:00+00:00,7.33
DLM:00046-FLOW,2021-07-03 03:00:00+00:00,8.36
DLM:00046-FLOW,2021-07-03 03:15:00+00:00,8.28
DLM:00046-FLOW,2021-07-03 03:30:00+00:00,7.87
DLM:00046-FLOW,2021-07-03 03:45:00+00:00,8.49
DLM:00046-FLOW,2021-07-03 04:00:00+00:00,7.61
DLM:00046-FLOW,2021-07-03 04:15:00+00:00,8.09
DLM:00046-FLOW,2021-07-03 04:30:00+00:00,8.51
DLM:00046-FLOW,2021-07-03 04:45:00+00:00,7.21
DLM:00046-FLOW,2021-07-03 05:00:00+00:00,7.61
DLM:00046-FLOW,2021-07-03 05:15:00+00:00,7.38
DLM:00046-FLOW,2021-07-03 05:30:00+00:00,7.86
DLM:00046-FLOW,2021-07-03 05:45:00+00:00,7.12
DLM:00046-FLOW,2021-07-03 06:00:00+00:00,7.97
DLM:00046-FLOW,2021-07-03 06:15:00+00:00,8.39
DLM:00046-FLOW,2021-07-03 06:30:00+00:00,7.88
DLM:00046-FLOW,2021-07-03 06:45:00+00:00,8.04
DLM:00046-FLOW,2021-07-03 07:00:00+00:00,7.8
DLM:00046-FLOW,2021-07-03 07:15:00+00:00,6.89
DLM:00046-FLOW,2021-07-03 07:30:00+00:00,7.49
DLM:00046-FLOW,2021-07-03 07:45:00+00:00,8.26
DLM:00046-FLOW,2021-07-03 08:00:00+00:00,8.41
DLM:00046-FLOW,2021-07-03 08:15:00+00:00,7.62
DLM:00046-FLOW,2021-07-03 08:30:00+00:00,7.71
DLM:00046-FLOW,2021-07-03 08:45:00+00:00,7.55
DLM:00046-FLOW,2021-07-03 09:00:00+00:00,6.85
DLM:00046-FLOW,2021-07-03 09:15:00+00:00,7.0
DLM:00046-FLOW,2021-07-03 09:30:00+00:00,7.33
DLM:00046-FLOW,2021-07-03 09:45:00+00:00,7.37
DLM:00046-FLOW,2021-07-03 10:00:00+00:00,7.29
DLM:00046-FLOW,2021-07-03 10:15:00+00:00,7.28
DLM:00046-FLOW,2021-07-03 10:30:00+00:00,6.72
DLM:00046-FLOW,2021-07-03 10:45:00+00:00,5.91
DLM:00046-FLOW,2021-07-03 11:00:00+00:00,6.32
DLM:00046-FLOW,2021-07-03 11:15:00+00:00,5.67
DLM:00046-FLOW,2021-07-03 11:30:00+00:00,5.73
DLM:00046-FLOW,2021-07-03 11:45:00+00:00,5.99
DLM:00046-FLOW,2021-07-03 12:00:00+00:00,5.81
DLM:00046-FLOW,2021-07-03 12:15:00+00:00,5.66
DLM:00046-FLOW,2021-07-03 12:30:00+00:00,5.81
DLM:00046-FLOW,2021-07-03 12:45:00+00:00,5.01
DLM:00046-FLOW,2021-07-03 13:00:00+00:00,4.24
DLM:00046-FLOW,2021-07-03 13:15:00+00:00,4.46
DLM:00046-FLOW,2021-07-03 13:30:00+00:00,4.87
DLM:00046-FLOW,2021-07-03 13:45:00+00:00,5.27
DLM:00046-FLOW,2021-07-03 14:00:00+00:00,5.65
DLM:00046-FLOW,2021-07-03 14:15:00+00:00,5.89
DLM:00046-FLOW,2021-07-03 14:30:00+00:00,6.49
DLM:00046-FLOW,2021-07-03 14:45:00+00:00,5.86
DLM:00046-FLOW,2021-07-03 15:00:00+00:00,5.84
DLM:00046-FLOW,2021-07-03 15:15:00+00:00,5.34
DLM:00046-FLOW,2021-07-03 15:30:00+00:00,5.34
DLM:00046-FLOW,2021-07-03 15:45:00+00:00,5.21
DLM:00046-FLOW,2021-07-03 16:00:00+00:00,5.57
DLM:00046-FLOW,2021-07-03 16:15:00+00:00,5.53
DLM:00046-FLOW,2021-07-03 16:30:00+00:00,4.79
DLM:00046-FLOW,2021-07-03 16:45:00+00:00,4.68
DLM:00046-FLOW,2021-07-03 17:00:00+00:00,5.06
DLM:00046-FLOW,2021-07-03 17:15:00+00:00,4.78
DLM:00046-FLOW,2021-07-03 17:30:00+00:00,5.65
DLM:00046-FLOW,2021-07-03 17:45:00+00:00,5.61
DLM:00046-FLOW,2021-07-03 18:00:00+00:00,5.96
DLM:00046-FLOW,2021-07-03 18:15:00+00:00,5.6
DLM:00046-FLOW,2021-07-03 18:30:00+00:00,6.1
